"ISONum","Parliament30","Parliament30_Year"
578,13.61,2020
51,12.12,2020
674,11.67,2020
270,10.34,2020
862,9.82,2020
740,9.8,2020
208,9.5,2020
752,9.42,2020
262,9.23,2020
152,8.39,2020
40,7.65,2020
170,7.27,2020
804,7.09,2020
788,6.91,2020
320,6.88,2020
380,6.83,2020
642,6.38,2020
470,5.97,2020
218,5.84,2020
4,5.65,2020
250,5.55,2020
703,5.41,2020
620,5.22,2020
484,5.2,2020
498,5,2020
499,4.94,2020
352,4.76,2020
710,4.71,2020
705,4.44,2020
616,4.35,2020
417,4.17,2020
8,4.1,2020
756,4,2020
428,4,2020
360,3.83,2020
398,3.77,2020
372,3.75,2020
826,3.69,2020
20,3.57,2020
188,3.51,2020
246,3.5,2020
462,3.45,2020
724,3.43,2020
56,3.33,2020
442,3.33,2020
233,2.97,2020
440,2.84,2020
100,2.51,2020
784,2.5,2020
646,2.5,2020
203,2.5,2020
48,2.5,2020
764,2.4,2020
586,2.08,2020
504,2.03,2020
528,2,2020
178,1.99,2020
32,1.95,2020
112,1.82,2020
704,1.81,2020
196,1.79,2020
554,1.67,2020
795,1.6,2020
792,1.33,2020
894,1.22,2020
562,1.2,2020
508,1.2,2020
222,1.19,2020
120,1.11,2020
858,1.01,2020
818,1.01,2020
348,1.01,2020
458,0.9,2020
356,0.79,2020
300,0.67,2020
268,0.67,2020
191,0.66,2020
404,0.57,2020
24,0.56,2020
840,0.46,2020
276,0.42,2020
50,0.29,2020
104,0.23,2020
659,0,2020
132,0,2020
492,0,2020
376,0,2020
NA,0,2020
780,0,2020
70,0,2020
524,0,2020
686,0,2020
558,0,2020
410,0,2020
36,0,2020
450,0,2020
512,0,2020
392,0,2020
332,0,2020
90,0,2020
148,0,2020
72,0,2020
414,0,2020
242,0,2020
566,0,2020
634,0,2020
598,0,2020
204,0,2020
438,0,2020
887,0,2020
