"ISONum","fert_know_m","fert_know_m_Year"
4,0.0602827793530251,2015
8,0.0695617672989179,2017
24,0.0511487503317228,2015
51,0.107831154782151,2015
31,0.0431708800183034,2006
204,0.151291050879906,2017
68,0.283117878477521,2008
854,0.241967967249569,2010
108,0.0918424641009409,2016
120,0.177207085175667,2018
148,0.17258668320119,2014
170,0.161106726220414,2015
174,0.31146999983214,2012
180,0.301540055092694,2013
384,0.136161265011799,2011
214,0.0380174353920848,2002
231,0.120794081822713,2016
270,0.0755889805283164,2019
288,0.112060197575375,2014
320,0.155184687566132,2014
324,0.123186348965358,2018
328,0.11313106964532,2009
332,0.199756800987825,2016
340,0.10134180699681,2011
356,0.0783730478879795,2015
360,0.144018517739694,2017
400,0.0863608909613173,2017
404,0.129180087734914,2014
417,0.0424443924368704,2012
426,0.148838349577696,2014
430,0.0219283527986018,2019
450,0.324682848373497,2008
454,0.0855819312497634,2015
462,0.12214062618831,2016
466,0.132857805385233,2018
498,0.181483636327991,2005
508,0.0383318807290531,2011
104,0.0264841589270611,2015
516,0.0913037788784766,2013
524,0.21739153987524,2016
562,0.0511864689368183,2012
566,0.059814124004807,2018
586,0.0811729886757981,2017
598,0.0582726864294459,2016
608,0.1625049772549,2003
646,0.223541906687645,2014
678,0.119126262282898,2008
686,0.0593596767853289,2019
694,0.0975945086221375,2019
710,0.0742460293311176,2016
748,0.0663453851161343,2006
834,0.0840240656306954,2015
626,0.0453434586363717,2016
768,0.250175154116481,2013
800,0.0915213795850837,2016
804,0.252805058997611,2007
894,0.0841825299830318,2018
716,0.113181833140625,2015
