"ISONum","humanrights","humanrights_Year"
12,0.700315457413249,2014
31,0.746849439348577,2011
51,0.26647226272375,2011
112,0.648143040467486,2011
233,0.7232705719371,2011
268,0.619883040935672,2014
275,0.459574468085106,2013
288,0.841990011043068,2012
332,0.178674351585014,2016
356,0.705263157894737,2012
414,0.781065088757396,2014
434,0.412647183036703,2014
504,0.447513812154696,2011
528,0.715596330275229,2012
616,0.751736649094012,2012
634,0.98025261960508,2010
646,0.956666666666667,2012
705,0.413461538461538,2011
710,0.590742956348289,2013
724,0.640399142474714,2011
752,0.776936252216267,2011
780,0.340579710144928,2010
858,0.632352941176471,2011
887,0.454054054054054,2014
20,0.912087912087912,2018
32,0.478529980190349,2017
36,0.700176743964849,2018
50,0.78125,2018
68,0.574898785425101,2017
76,0.440364388096202,2018
104,0.767326732673267,2020
124,0.840259125341714,2020
152,0.324191422328657,2018
156,0.922264878997669,2018
158,0.914482980517278,2019
170,0.383561643835616,2018
196,0.664435894987046,2019
218,0.568548387096774,2018
231,0.58311345646438,2020
276,0.930232558139535,2018
300,0.517727878660029,2017
320,0.433920704845815,2020
344,0.738972652702555,2018
360,0.881472227002311,2018
364,0.659259259259259,2020
368,0.296875,2018
392,0.592592592592593,2019
398,0.846153846153846,2018
400,0.655405405405405,2018
410,0.85,2018
417,0.739677415054914,2020
422,0.390243902439024,2018
446,0.840425531914894,2020
458,0.668367346938776,2018
484,0.40997791671507,2018
554,0.774193548387097,2020
558,0.431884057971014,2020
566,0.443478260869565,2018
586,0.655737704918033,2018
604,0.184516661749181,2018
608,0.91538610507038,2019
630,0.435483870967742,2018
642,0.376073415211914,2018
643,0.737463059087853,2017
688,0.545454545454545,2017
702,0.834394904458599,2020
704,0.918781725888325,2020
716,0.350943396226415,2020
762,0.914414414414414,2020
764,0.640776699029126,2018
788,0.493055555555556,2019
792,0.603351955307263,2018
804,0.494361865371264,2020
818,0.248587570621469,2018
840,0.479825912147662,2017
