"ISONum","knows_ltm_stm_m","knows_ltm_stm_m_Year"
4,0.60378900373655,2015
8,0.507889694409371,2017
24,0.48605407788473,2015
51,0.668203413913007,2015
31,0.221341946921984,2006
50,0.938588220154479,1999
204,0.593893924444139,2017
68,0.766387088348899,2008
76,0.862271314539584,1996
854,0.504430192950626,2010
108,0.79105691213349,2016
120,0.575223079460428,2018
140,0.561684655904385,1994
148,0.248029145312385,2014
170,0.927756652368239,2015
174,0.782698373200839,2012
178,0.440729739608263,2011
180,0.413150315283102,2013
384,0.38561834609979,2011
214,0.916208280519357,2002
231,0.706826216058021,2016
266,0.46195900030975,2012
270,0.686914558925342,2019
288,0.704790030656377,2014
320,0.86468979320751,2014
324,0.416011755820194,2018
328,0.507351410740747,2009
332,0.888759652717459,2016
340,0.873530142995922,2011
356,0.836562905003032,2015
360,0.664104347132439,2017
400,0.734745334995423,2017
398,0.7085695989779,1999
404,0.76005879136103,2014
417,0.49906163918124,2012
426,0.553985203726877,2014
430,0.745027615431284,2019
450,0.383314377670137,2008
454,0.850945355373478,2015
462,0.619675210563291,2016
466,0.743691565159012,2018
498,0.844198934818941,2005
508,0.486689529716352,2011
104,0.659177851670719,2015
516,0.687671311659301,2013
524,0.946632170975234,2016
558,0.829244161752807,1998
562,0.264425216849432,2012
566,0.364436573215028,2018
586,0.717081997263131,2017
598,0.508367568812383,2016
604,0.885353336507223,1996
608,0.679687366848976,2003
646,0.888400468384751,2014
678,0.484393967720355,2008
686,0.508958586202823,2019
694,0.843362339824938,2019
710,0.617493321670468,2016
748,0.637337350022026,2006
834,0.758068802071048,2015
626,0.291151334108007,2016
768,0.617628536889315,2013
792,0.916351059627366,1998
800,0.868620106057766,2016
804,0.729417865235197,2007
894,0.599945129405503,2018
716,0.741933541621425,2015
