"ISONum","knows_ltm_stm_w","knows_ltm_stm_w_Year"
4,0.677710894891725,2015
8,0.771120238102284,2017
24,0.528336117935156,2015
51,0.749486439171068,2015
31,0.501725670441144,2006
50,0.970877838014783,2007
204,0.768229653579834,2017
68,0.829265584738698,2008
76,0.924122930668008,1996
854,0.739150090239654,2010
108,0.895380307215003,2016
116,0.961996773542161,2014
120,0.629340173343904,2018
140,0.411729805022911,1994
148,0.344095453788496,2014
170,0.968340353894071,2015
174,0.805325715802957,2012
178,0.427440537350476,2011
180,0.533119909796939,2013
384,0.382203965642371,2011
214,0.968771594665242,2013
218,0.753187149413564,1987
818,0.98579145242439,2014
222,0.754603776267156,1985
231,0.76390469724622,2016
266,0.563596508218324,2012
270,0.891894963353935,2019
288,0.815172116949197,2014
320,0.89176565963733,2014
324,0.585130641467335,2018
328,0.711851253004555,2009
332,0.91198536573532,2016
340,0.929629920956353,2011
356,0.850832658179125,2015
360,0.818263775472528,2017
400,0.969662515771694,2017
398,0.887960531456191,1999
404,0.842903378889503,2014
417,0.713806391281283,2012
426,0.759040434811103,2014
430,0.931318803754387,2019
450,0.576329942006059,2008
454,0.908264954318032,2015
462,0.837740996211384,2016
466,0.849303475282706,2018
484,0.854759949707193,1987
498,0.897166937941344,2005
504,0.93596982057949,2003
508,0.371180556164903,2011
104,0.807434681631344,2015
516,0.707494918899715,2013
524,0.979898040546318,2016
558,0.886913137857791,2001
562,0.359756435754841,2012
566,0.613691219981578,2018
586,0.834459773975146,2017
600,0.742364222887379,1990
598,0.659931191261948,2016
604,0.0108263079864057,2012
608,0.843214962322852,2017
646,0.918443700243181,2014
678,0.646874564421057,2008
686,0.744873906453964,2019
694,0.951614034608779,2019
710,0.845559741953081,2016
144,0.916200666320106,1987
736,0.484825493171472,1989
748,0.729329977113863,2006
762,0.632174533637369,2017
834,0.901807841673962,2015
764,0.985081436071461,1987
626,0.404682579932029,2016
768,0.769468499190241,2013
780,0.890056022408964,1987
788,0.970345963756178,1988
792,0.8663164194789,2013
800,0.906215919003564,2016
804,0.88623413259577,2007
860,0.617213266649858,1996
704,0.94983587414231,2002
887,0.930422386109278,2013
894,0.833404169693048,2018
716,0.88096445311245,2015
