"ISONum","ProviderDisc","ProviderDisc_Year"
4,"50.427350427350426",2017
51,"33.333333333333329",2017
50,"38.888888888888886",2017
64,"8.7301587301587311",2017
68,"64.957264957264954",2017
854,"15.384615384615383",2017
108,"31.746031746031747",2017
116,"22.222222222222221",2017
120,"19.658119658119656",2017
140,"16.666666666666664",2017
148,"17.777777777777779",2017
170,"36.36363636363636",2017
178,"32.478632478632477",2017
384,"42.592592592592588",2017
214,"43.650793650793652",2017
180,"60",2017
818,"28.28282828282828",2017
222,"35.042735042735046",2017
232,"23.931623931623928",2017
231,"25.396825396825395",2017
270,"23.015873015873016",2017
268,"38.095238095238095",2017
288,"35.714285714285715",2017
320,"59.259259259259252",2017
324,"11.904761904761907",2017
624,"3.9682539682539688",2017
332,"22.222222222222221",2017
340,"16.161616161616163",2017
356,"32.222222222222221",2017
368,"17.171717171717169",2017
388,"41.481481481481481",2017
400,"41.025641025641029",2017
398,"27.272727272727273",2017
404,"45.454545454545453",2017
417,"40.74074074074074",2017
418,"22.222222222222221",2017
426,"26.666666666666664",2017
430,"26.543209876543209",2017
450,"34.18803418803418",2017
454,"41.880341880341881",2017
458,"41.975308641975303",2017
466,"25.252525252525253",2017
478,"41.880341880341881",2017
484,"56.410256410256402",2017
498,"24.786324786324787",2017
496,"39.316239316239312",2017
504,"40.888888888888886",2017
508,"38.888888888888886",2017
104,"37.962962962962962",2017
516,"33.333333333333329",2017
524,"16.993464052287578",2017
558,"51.851851851851855",2017
562,"45.238095238095234",2017
566,"53.59477124183006",2017
586,"63.247863247863251",2017
275,"30.37037037037037",2017
591,"37.962962962962962",2017
598,"48.148148148148145",2017
604,"33.333333333333329",2017
608,"52.777777777777779",2017
642,"15.972222222222221",2017
643,"42.222222222222221",2017
646,"31.746031746031747",2017
678,"17.647058823529413",2017
686,"46.031746031746032",2017
694,"8.8888888888888893",2017
90,"28.205128205128201",2017
706,"53.333333333333329",2017
728,"48.148148148148145",2017
144,"56.349206349206341",2017
748,"33.333333333333329",2017
762,"13.492063492063494",2017
834,"42.222222222222221",2017
626,"87.037037037037038",2017
768,"23.333333333333332",2017
795,"28.571428571428573",2017
800,"43.518518518518519",2017
804,"36.111111111111107",2017
860,"57.777777777777779",2017
704,"43.703703703703702",2017
894,"53.703703703703695",2017
716,"64.444444444444443",2017
